sym,dir,entry_time,entry_price,exit_time,exit_price,pnl_rub,reason,contracts,go,stop,pattern
SN,L,2025-01-09 17:20:00+08:00,25102.0,2025-01-09 17:25:00+08:00,25064.0,-15.138235997131703,fade,2,5000.0,24947.0,vou
SF,S,2025-01-09 16:20:00+08:00,1411.0,2025-01-09 17:30:00+08:00,1404.4,23.387668320339863,fade,1,5000.0,1423.9857142857143,vod
YD,L,2025-01-09 17:25:00+08:00,3983.0,2025-01-09 17:30:00+08:00,3983.0,0.0,fade,1,5000.0,3960.5,vod
NG,S,2025-01-09 17:25:00+08:00,3.242,2025-01-09 17:30:00+08:00,3.2439999999999998,-3.0845157310298883,fade,1,5000.0,3.2819999999999996,vyf
SR,L,2025-01-09 15:45:00+08:00,28214.0,2025-01-09 17:35:00+08:00,28175.0,-31.621322747572126,fade,4,5719.0,28035.785714285714,sm
RN,L,2025-01-09 16:35:00+08:00,55972.0,2025-01-09 17:35:00+08:00,55890.0,-7.325091116987065,fade,1,5000.0,55678.78571428572,vou
AL,L,2025-01-09 17:20:00+08:00,5700.0,2025-01-09 17:45:00+08:00,5703.0,10.526315789473683,fade,4,5000.0,5681.571428571428,vou
RN,L,2025-01-09 18:10:00+08:00,55990.0,2025-01-09 18:15:00+08:00,55979.0,-2.9469548133595285,fade,3,5000.0,55731.07142857143,vou
GL,L,2025-01-09 18:10:00+08:00,9109.2,2025-01-09 18:20:00+08:00,9106.2,-3.293373732051113,fade,2,5000.0,9099.07142857143,vod
YD,L,2025-01-09 18:10:00+08:00,3984.0,2025-01-09 18:20:00+08:00,3982.0,-5.02008032128514,fade,2,5000.0,3959.3571428571427,vod
AL,L,2025-01-09 18:20:00+08:00,5673.0,2025-01-09 18:30:00+08:00,5674.0,1.7627357659086902,fade,2,5000.0,5659.285714285715,vou
AF,L,2025-01-09 17:10:00+08:00,6096.0,2025-01-09 18:35:00+08:00,6077.428571428572,-30.464941882264505,stop,2,5000.0,6077.428571428572,sm
YD,L,2025-01-09 18:25:00+08:00,3969.0,2025-01-09 18:35:00+08:00,3978.0,56.68934240362812,fade,5,5000.0,3940.4285714285716,vod
GL,L,2025-01-09 18:45:00+08:00,9105.6,2025-01-09 18:55:00+08:00,9110.2,15.155508697945319,fade,6,5000.0,9096.67142857143,vod
BR,S,2025-01-09 18:45:00+08:00,77.03,2025-01-09 18:55:00+08:00,77.0,9.347007659353853,fade,8,3000.0,77.41571428571427,vyf
HY,L,2025-01-09 18:50:00+08:00,5345.0,2025-01-09 18:55:00+08:00,5354.0,20.205799812909262,fade,4,3000.0,5304.642857142857,vou
GL,L,2025-01-09 19:00:00+08:00,9112.0,2025-01-09 19:05:00+08:00,9103.985714285714,-13.192963752664905,stop,3,5000.0,9103.985714285714,vod
YD,L,2025-01-09 19:00:00+08:00,3974.0,2025-01-09 19:10:00+08:00,3976.0,7.54906894816306,fade,3,5000.0,3945.785714285714,vod
SV,S,2025-01-09 19:00:00+08:00,31.45,2025-01-09 19:10:00+08:00,31.42,9.538950715420537,fade,2,5000.0,31.57142857142857,vod
SR,L,2025-01-09 18:35:00+08:00,28172.0,2025-01-09 19:15:00+08:00,28186.0,2.8420417435751815,fade,1,5719.0,28027.0,sm
GL,L,2025-01-09 19:05:00+08:00,9103.4,2025-01-09 19:15:00+08:00,9098.9,-2.4716040160819035,fade,1,5000.0,9094.571428571428,vod
NM,L,2025-01-09 19:00:00+08:00,14791.0,2025-01-09 19:20:00+08:00,14795.0,3.419647082685417,fade,9,1405.0,14727.142857142857,vod
RN,L,2025-01-09 19:05:00+08:00,56039.0,2025-01-09 19:20:00+08:00,56018.0,-3.7473902103891934,fade,2,5000.0,55861.857142857145,vou
AL,L,2025-01-09 19:20:00+08:00,5679.0,2025-01-09 19:25:00+08:00,5690.0,9.684803662616659,fade,1,5000.0,5662.0,vou
AL,L,2025-01-09 19:50:00+08:00,5700.0,2025-01-09 19:55:00+08:00,5710.0,43.85964912280702,fade,5,5000.0,5681.285714285715,vou
SN,L,2025-01-09 20:00:00+08:00,24950.0,2025-01-09 20:05:00+08:00,24950.0,0.0,fade,1,5000.0,24857.5,vou
AL,L,2025-01-09 20:00:00+08:00,5715.0,2025-01-09 20:05:00+08:00,5714.0,-0.8748906386701661,fade,1,5000.0,5699.285714285715,vou
GL,L,2025-01-09 19:55:00+08:00,9099.9,2025-01-09 20:15:00+08:00,9103.2,9.066033692680941,fade,5,5000.0,9092.357142857143,vod
NM,L,2025-01-09 20:30:00+08:00,14831.0,2025-01-09 20:35:00+08:00,14831.0,0.0,fade,13,1405.0,14769.285714285714,vod
YD,L,2025-01-09 20:30:00+08:00,3990.0,2025-01-09 20:35:00+08:00,3988.0,-2.506265664160401,fade,1,5000.0,3971.4285714285716,vod
SN,L,2025-01-09 20:40:00+08:00,25050.0,2025-01-09 20:45:00+08:00,24982.0,-67.86427145708583,fade,5,5000.0,24951.428571428572,vou
RN,L,2025-01-09 20:45:00+08:00,55981.0,2025-01-10 06:55:00+08:00,56200.0,58.68062378306926,fade,3,5000.0,55474.21428571428,vou
AF,L,2025-01-09 19:15:00+08:00,6088.0,2025-01-10 07:00:00+08:00,6077.428571428572,-26.046555284399908,stop,3,5000.0,6077.428571428572,sm
SV,S,2025-01-09 20:45:00+08:00,31.46,2025-01-10 07:05:00+08:00,31.602857142857143,-45.40913631822707,stop,2,5000.0,31.602857142857143,vod
AF,L,2025-01-10 07:00:00+08:00,6123.0,2025-01-10 07:05:00+08:00,6101.428571428572,-88.07540654674358,stop,5,5000.0,6101.428571428572,sm
RN,L,2025-01-10 07:05:00+08:00,56640.0,2025-01-10 07:20:00+08:00,56940.0,52.96610169491525,fade,2,5000.0,55802.857142857145,vou
Si,L,2025-01-10 07:15:00+08:00,105027.0,2025-01-10 07:25:00+08:00,105022.0,-0.047606805868967025,fade,1,1000.0,104817.14285714286,vyf
AL,L,2025-01-10 07:30:00+08:00,5761.0,2025-01-10 07:40:00+08:00,5735.0,-22.565526818260718,fade,1,5000.0,5734.142857142857,vou
NM,L,2025-01-10 07:00:00+08:00,14945.0,2025-01-10 08:15:00+08:00,14855.42857142857,-176.835396453665,stop,21,1405.0,14855.42857142857,vod
SR,L,2025-01-09 20:45:00+08:00,28218.0,2025-01-10 08:20:00+08:00,28121.928571428572,-19.470993691969454,stop,1,5719.0,28121.928571428572,sm
