ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
GK,5m,B,3,26435,49.92,2.0078,0.0963,18.7118
MX,30m,B,4,5332,49.92,0.9039,-0.0168,119.435
TN,5m,B,6,10558,49.91,1.8915,0.1069,24.8795
NA,5m,B,4,35217,49.91,1.4817,0.031,35.2735
TT,5m,B,6,10558,49.91,1.8915,0.1069,24.8795
MX,5m,B,4,32747,49.9,1.258,0.0176,30.7066
RL,5m,B,3,2886,49.9,1.0875,0.009,12.1201
MC,5m,B,4,33005,49.89,1.2587,0.0176,30.7066
IB,H1,B,3,808,49.88,1.065,0.026,40.2126
MC,5m,B,6,33004,49.88,1.2472,0.02,55.1247
Eu,H1,B,4,2514,49.88,0.9214,-0.0164,61.7475
SBERF,15m,B,3,5793,49.87,0.9868,-0.0013,36.1404
GD,H1,B,2,2737,49.87,0.9168,-0.0115,40.1065
SR,5m,B,3,33472,49.86,1.5302,0.0349,18.9789
NA,5m,B,6,35217,49.85,1.3777,0.029,59.3309
GD,H1,B,4,2737,49.84,0.9237,-0.0149,63.8312
RI,30m,B,4,5537,49.83,0.8938,-0.0235,146.1236
Si,15m,B,4,10279,49.82,1.0315,0.0034,77.4382
TT,15m,B,3,4128,49.81,1.5219,0.0968,32.0512
TN,15m,B,3,4128,49.81,1.5219,0.0968,32.0512
MC,15m,B,6,10547,49.8,1.0495,0.0074,117.4432
EURRUBF,H1,B,2,2432,49.79,0.8604,-0.0188,48.1078
MX,15m,B,6,10450,49.78,1.0497,0.0074,117.4432
BR,5m,B,8,30425,49.77,1.3413,0.0455,83.7927
SBERF,5m,B,3,18406,49.77,1.0194,0.0011,23.832
PD,H1,B,4,2536,49.76,1.0437,0.0192,96.5774
MN,15m,B,6,1043,49.76,0.9879,-0.0025,30.1049
MN,15m,B,4,1043,49.76,1.0097,0.0016,27.2905
Eu,30m,B,3,5427,49.75,0.9407,-0.0078,73.4532
BR,15m,B,3,10362,49.75,1.0693,0.0113,45.008
Si,15m,B,6,10279,49.75,0.9782,-0.0028,100.4999
Si,30m,B,4,5668,49.75,0.9606,-0.0058,50.8922
RI,30m,B,3,5537,49.74,0.895,-0.0203,129.5513
MC,15m,B,3,10547,49.74,1.0389,0.0045,115.8589
NG,15m,B,2,10402,49.73,1.2481,0.0605,74.5803
GD,30m,B,2,5410,49.72,0.9956,-0.0004,24.5687
IB,15m,B,3,3592,49.72,1.3093,0.0786,41.0717
IB,15m,B,6,3590,49.72,1.2363,0.0774,36.5813
TN,15m,B,2,4128,49.71,1.5514,0.0911,41.7409
TT,15m,B,2,4128,49.71,1.5514,0.0911,41.7409
GD,15m,B,2,11311,49.69,1.0108,0.0007,30.3847
BR,5m,B,4,30426,49.68,1.4301,0.0418,44.0887
NR,5m,C,3,1383,49.67,0.8989,-0.0274,98.2204
RB,30m,B,3,1220,49.67,1.3256,0.0136,4.1519
MN,5m,B,8,2056,49.66,1.0477,0.0061,23.9848
DX,5m,C,4,7175,49.66,0.7854,-0.0443,325.2876
MX,15m,B,3,10450,49.66,1.0367,0.0042,115.8589
Eu,5m,B,3,33499,49.66,1.1339,0.0067,49.4743
Si,H1,B,3,2535,49.66,0.9738,-0.0046,33.5818
NR,5m,C,6,1585,49.65,0.9754,-0.0076,66.4578
TN,5m,B,8,10558,49.64,1.7487,0.1032,20.2822
TT,5m,B,8,10558,49.64,1.7487,0.1032,20.2822
MC,30m,B,3,5379,49.64,0.9612,-0.0058,89.4568
BR,5m,B,6,30425,49.64,1.388,0.045,49.6388
NG,15m,B,6,10402,49.63,1.0956,0.0378,143.7724
MX,30m,B,3,5332,49.61,0.9609,-0.0059,89.4568
SBERF,5m,B,6,18405,49.61,1.0084,0.0007,36.2379
SV,H1,B,4,2578,49.57,0.9312,-0.0269,98.8316
Eu,5m,B,6,33499,49.56,1.064,0.0046,94.2487
HS,H1,B,4,2783,49.55,1.058,0.018,61.6255
BR,15m,B,2,10362,49.55,1.1283,0.0172,24.6439
DX,5m,C,8,8103,49.54,0.869,-0.0292,248.4774
NA,5m,B,3,35217,49.54,1.5087,0.0291,32.8877
Eu,H1,B,2,2514,49.52,0.8872,-0.0174,52.8079
SBERF,5m,B,8,18405,49.51,0.9937,-0.0006,45.2783
MX,H1,B,3,2559,49.51,0.9195,-0.0179,79.9889
Eu,5m,B,8,33499,49.51,1.0719,0.006,106.5409
