ticker,entry_time,exit_time,entry,exit,contracts,pnl,commission,net_pnl
CC,2026-04-16 12:30:00,2026-04-16 12:45:00,280.6,284.2,1,360,2,358
CC,2026-04-17 14:15:00,2026-04-17 14:30:00,276.0,276.4,1,40,2,38
IB,2026-04-20 18:05:00,2026-04-20 19:05:00,43.56,43.76,1,20,2,18
CC,2026-04-24 09:10:00,2026-04-24 09:25:00,269.7,269.9,1,20,2,18
NR,2026-04-27 13:40:00,2026-04-27 14:20:00,19245.0,19215.0,1,-3000,2,-3002
CC,2026-04-28 09:10:00,2026-04-28 09:25:00,260.5,262.0,1,150,2,148
NR,2026-04-28 17:45:00,2026-04-28 18:20:00,19400.0,19400.0,1,0,2,-2
NR,2026-04-29 12:25:00,2026-04-29 13:05:00,19445.0,19250.0,1,-19500,2,-19502
IB,2026-04-29 15:30:00,2026-04-29 16:30:00,43.32,43.05,1,-27,2,-29
CC,2026-04-30 12:00:00,2026-04-30 12:15:00,267.9,270.2,1,230,2,228
NR,2026-05-01 16:20:00,2026-05-01 20:30:00,19300.0,19340.0,1,4000,2,3998
CC,2026-05-04 09:10:00,2026-05-04 09:25:00,280.6,281.4,1,80,2,78
IB,2026-05-04 09:35:00,2026-05-04 10:35:00,45.3,44.91,1,-39,2,-41
NR,2026-05-08 13:20:00,2026-05-08 14:05:00,18950.0,18825.0,1,-12500,2,-12502
NR,2026-05-08 18:30:00,2026-05-11 10:20:00,18835.0,19090.0,1,25500,2,25498
CC,2026-05-08 20:00:00,2026-05-08 20:15:00,317.3,318.3,1,100,2,98
CC,2026-05-11 16:00:00,2026-05-11 16:15:00,342.9,344.2,1,130,2,128
NR,2026-05-11 17:35:00,2026-05-11 19:40:00,19180.0,19165.0,1,-1500,2,-1502
IB,2026-05-13 16:00:00,2026-05-13 17:00:00,44.83,45.11,1,28,2,26
NR,2026-05-13 16:50:00,2026-05-13 20:20:00,19115.0,19005.0,1,-11000,2,-11002
CC,2026-05-15 09:10:00,2026-05-15 09:15:00,308.3,304.8,1,-350,2,-352
CC,2026-05-15 12:35:00,2026-05-15 12:40:00,305.5,303.2,1,-230,2,-232
CC,2026-05-15 12:40:00,2026-05-15 12:55:00,303.0,305.2,1,220,2,218
CC,2026-05-18 11:20:00,2026-05-18 11:35:00,286.0,287.4,1,140,2,138
