BR: 102870 M1 bars
CR: 101943 M1 bars
GD: 102880 M1 bars
RN: 66364 M1 bars
Si: 101950 M1 bars
MM: 89294 M1 bars
GZ: 101269 M1 bars
NG: 102970 M1 bars

=== BR 3мин ===
risk%  ret%     MDD    PF     WR    Trades
=== NG 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%    +100.1%    2.08%   3.21   50.8%   884 ✅
  2%    +100.1%    2.08%   3.21   50.8%   884 ✅
  3%    +100.1%    2.08%   3.21   50.8%   884 ✅
  4%    +100.1%    2.08%   3.21   50.8%   884 ✅
  5%    +100.1%    2.08%   3.21   50.8%   884 ✅
  7%    +100.1%    2.08%   3.21   50.8%   884 ✅
 10%    +100.1%    2.08%   3.21   50.8%   884 ✅
 15%    +196.2%    2.28%   3.22   50.8%   884 ✅

=== NG 5мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +51.0%    2.56%   2.06   45.3%   878 ✅
  2%     +51.0%    2.56%   2.06   45.3%   878 ✅
  3%     +51.0%    2.56%   2.06   45.3%   878 ✅
  4%     +51.0%    2.56%   2.06   45.3%   878 ✅
  5%     +51.0%    2.56%   2.06   45.3%   878 ✅
  7%     +51.0%    2.56%   2.06   45.3%   878 ✅
 10%     +51.0%    2.56%   2.06   45.3%   878 ✅
 15%     +65.2%    4.14%   1.99   45.3%   878 ✅

=== NG 10мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +49.6%    2.30%   2.54   49.4%   699 ✅
  2%     +49.6%    2.30%   2.54   49.4%   699 ✅
  3%     +49.6%    2.30%   2.54   49.4%   699 ✅
  4%     +49.6%    2.30%   2.54   49.4%   699 ✅
  5%     +49.6%    2.30%   2.54   49.4%   699 ✅
  7%     +49.6%    2.30%   2.54   49.4%   699 ✅
 10%     +49.6%    2.30%   2.54   49.4%   699 ✅
 15%     +61.3%    2.30%   2.62   49.4%   699 ✅

=== NG 15мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +31.3%    2.52%   2.21   50.2%   556 ✅
  2%     +31.3%    2.52%   2.21   50.2%   556 ✅
  3%     +31.3%    2.52%   2.21   50.2%   556 ✅
  4%     +31.3%    2.52%   2.21   50.2%   556 ✅
  5%     +31.3%    2.52%   2.21   50.2%   556 ✅
  7%     +31.3%    2.52%   2.21   50.2%   556 ✅
 10%     +31.3%    2.52%   2.21   50.2%   556 ✅
 15%     +31.3%    2.52%   2.21   50.2%   556 ✅


=== BEST PF>1.5, MDD≤20% ===
Ticker TF  Risk       ROI    MDD    PF    WR    Tr
BR      3m   1%    +55.9%    5.1%  1.80  51.0%   516
BR      3m   2%    +55.9%    5.1%  1.80  51.0%   516
BR      3m   3%    +55.9%    5.1%  1.80  51.0%   516
BR      3m   4%    +55.9%    5.1%  1.80  51.0%   516
BR      3m   5%    +55.9%    5.1%  1.80  51.0%   516
BR      3m   7%    +82.6%    7.2%  1.67  51.0%   516
BR      3m  10%   +167.7%   13.3%  1.57  51.0%   516
BR      5m   1%    +47.1%    7.3%  1.78  49.5%   503
BR      5m   2%    +47.1%    7.3%  1.78  49.5%   503
BR      5m   3%    +47.1%    7.3%  1.78  49.5%   503
