entry_time,session,dow,hour,month,adx,atr_pct,atr_percentile,di_spread,close,divergence,dir,ret_pct,pnl_net,bars_held,reason,entry_px,exit_px
2026-04-23 13:35:00+08:00,mid,3,13.58,4,25.36,0.3769,74.0,16.45,97.8,2.0385,SHORT,-0.12269938650307213,-77.56536056131337,10,time_stop,97.8,97.92
2026-04-23 14:30:00+08:00,mid,3,14.5,4,29.38,0.3122,50.0,5.99,97.92,2.9097,SHORT,-0.18382352941175717,-115.13784223747221,10,time_stop,97.92,98.1
2026-04-23 15:20:00+08:00,mid,3,15.33,4,25.08,0.3204,47.0,8.14,98.1,2.0005,SHORT,-0.3160040774719697,-196.30906574293,10,time_stop,98.1,98.41
2026-04-23 16:10:00+08:00,mid,3,16.17,4,44.8,0.2802,29.0,11.52,98.41,3.3991,SHORT,-0.741794533075911,-457.3970306669466,10,time_stop,98.41,99.14
2026-04-23 17:00:00+08:00,close,3,17.0,4,30.22,0.2846,31.0,34.01,99.14,2.2436,SHORT,-1.0086746015735324,-618.9312508358255,10,time_stop,99.14,100.14
2026-04-23 18:15:00+08:00,close,3,18.25,4,29.06,0.739,99.0,-1.89,99.46,-2.624,LONG,0.5932032978081676,358.98258760952393,10,time_stop,99.46,100.05
2026-04-23 19:05:00+08:00,close,3,19.08,4,27.95,0.4876,84.0,8.04,100.05,-4.1587,LONG,0.25987006496752135,156.60543096277328,10,time_stop,100.05,100.31
2026-04-23 19:55:00+08:00,close,3,19.92,4,23.75,0.2485,7.0,6.88,100.31,-2.2216,LONG,0.5881766523776327,357.44000228413995,10,time_stop,100.31,100.9
2026-04-23 20:45:00+08:00,close,3,20.75,4,35.98,0.252,19.0,23.26,100.9,-5.1301,LONG,0.644202180376602,392.82902066766707,10,time_stop,100.9,101.55
2026-04-24 11:20:00+08:00,open,4,11.33,4,66.48,0.438,81.0,-37.81,98.83,-2.3047,LONG,0.09106546595163757,53.99253707668643,10,time_stop,98.83,98.92
2026-04-24 12:25:00+08:00,mid,4,12.42,4,47.24,0.4963,73.0,-11.26,99.16,-2.4149,LONG,-0.15127067365872476,-95.05116484228934,10,time_stop,99.16,99.01
2026-04-24 13:15:00+08:00,mid,4,13.25,4,28.33,0.4552,70.0,-15.05,99.01,-2.5055,LONG,0.5655994344005535,345.6485078479074,10,time_stop,99.01,99.57
2026-04-24 14:15:00+08:00,mid,4,14.25,4,10.92,0.4403,61.0,0.11,99.45,2.6577,SHORT,-0.3619909502262437,-225.1251476678695,10,time_stop,99.45,99.81
2026-04-24 15:05:00+08:00,mid,4,15.08,4,20.93,0.3793,51.0,20.46,99.81,4.2083,SHORT,0.8015228934976427,491.143047545656,10,time_stop,99.81,99.01
2026-04-24 17:15:00+08:00,close,4,17.25,4,23.82,0.2864,26.0,-12.23,99.02,-2.1486,LONG,0.23227630781660671,141.48016692015221,10,time_stop,99.02,99.25
2026-04-24 18:05:00+08:00,close,4,18.08,4,29.66,0.3095,25.0,-6.75,99.25,-2.8334,LONG,0.19143576826196246,116.38784387469002,10,time_stop,99.25,99.44
2026-04-24 18:55:00+08:00,close,4,18.92,4,14.09,0.2952,15.0,-1.98,99.44,-3.556,LONG,0.8648431214802891,533.3401840183366,10,time_stop,99.44,100.3
2026-04-24 19:55:00+08:00,close,4,19.92,4,32.84,0.2085,2.0,13.17,100.04,2.1319,SHORT,-0.40983606557376706,-256.7825208630902,10,time_stop,100.04,100.45
